,ATSC4c,ATSC2v,SCH-7,ASP-7,hmin,ETA_BetaP_s,IC1,IC2,SIC2,BIC2,ZMIC1,ZMIC2,MDEO-11,nHeteroRing,n6HeteroRing,nT6HeteroRing,LipinskiFailures,pChemBL
376,-0.013850854,-215.8675637,0.74400349,0.027471486,0.000247898,0.63462,3.278814544,4.056519707,0.734402862,0.681287532,54.41085158,35.70405336,0.0,2,1,1,1,6.67
203,0.01647016,566.5589907000001,0.800111887,0.026330366,-0.236264931,0.68548,3.713269419,4.806238929,0.813666488,0.782832271,43.59319628,29.64659752,0.083333333,3,2,2,0,7.32
1489,0.001461488,-580.9576467999999,0.770070033,0.02650278,0.092862236,0.6691199999999999,3.0808372960000003,3.968256531,0.699569636,0.641093539,74.72610734,48.43532377,0.0,3,1,1,1,6.96
581,0.141331721,980.8640441,0.993797685,0.026797571,-0.18656278699999998,0.72059,3.46897231,4.774376806,0.792774031,0.754136707,51.48897537,33.89442471,0.0,5,3,3,0,6.01
1074,0.392991524,888.2375756000001,0.559373992,0.026529946000000002,-0.052179193,0.69118,3.923876417,4.909368064,0.838064867,0.800969388,45.86447589,35.91769919,0.166666667,3,3,3,0,7.6
2308,0.293466291,227.64007400000003,0.781067023,0.028417336,-0.140526384,0.68421,3.789493973,4.7675197460000005,0.780469945,0.7478416090000001,56.0164639,38.87923981,0.0,4,2,2,1,6.68
710,0.656544528,88.07757303,0.527232931,0.027088554,-0.134606442,0.64583,4.005343132,4.981727679,0.843375647,0.790276166,54.50170401,36.15331676,0.5,2,2,2,1,9.3
326,0.257962972,-153.3430272,0.6822152490000001,0.032910662,-0.221073462,0.66892,3.7013497369999997,4.681847895,0.774576873,0.735408567,63.19162435,40.70360342,0.0,2,2,2,1,5.06
2396,0.7755806359999999,577.8093449,0.734090118,0.028819901000000002,-0.163930933,0.67143,3.8114190039999998,5.013645929,0.823601895,0.790814598,46.50273572,31.29185472,0.0,3,2,2,0,7.82
88,0.165636395,423.44828689999997,0.6475157810000001,0.030440786,-0.102462491,0.65625,3.434599982,4.628928032,0.771488005,0.745464658,49.97777123,36.48505102,0.0,3,2,2,0,6.86
2277,-0.025789911000000002,246.9883942,0.716257211,0.028854502,-0.12995626,0.7094600000000001,3.724693863,4.8810054880000004,0.801812777,0.7698928970000001,54.46685408,36.53183364,0.0,5,3,3,0,8.09
2730,-0.305022841,71.05036116,0.711495975,0.029522396,0.09144090699999999,0.64286,3.990877316,4.890531185,0.885394465,0.8246076170000001,45.01735913,33.2489237,0.0,4,2,2,0,5.72
1001,-0.036068562,-298.5714893,1.060889255,0.028355283999999998,-0.148045986,0.66071,3.4904705660000004,4.4424333030000005,0.722376582,0.6769687879999999,82.78380705,49.65626747,0.334407125,3,2,2,1,6.62
1541,-0.095849756,126.9432506,0.85706754,0.026144622000000003,0.08570743300000001,0.69286,3.7870047089999996,4.749922333,0.8215925959999999,0.75682412,60.12750883,38.00919018,0.5,4,1,1,0,6.62
2804,-0.057504284,413.3172782,1.0425887790000001,0.030965733999999998,-0.21461529999999998,0.63636,3.779126175,4.874002795,0.828539613,0.778919721,52.72227864,31.48147209,0.0,3,1,1,0,7.1
1894,0.17369977600000003,-16.30676961,0.528555751,0.030223276,0.134087187,0.66071,4.0809478960000005,5.009702884,0.901903456,0.849848644,39.534780600000005,27.65801157,0.0,2,2,2,0,6.89
2663,-0.352355865,628.1896739,0.615192879,0.027280497,-0.174777987,0.71094,3.306206112,4.110744714,0.6931254040000001,0.66955132,54.07108461,46.90497797,0.0,4,4,4,0,4.68
118,0.627704177,356.43316630000004,0.802719057,0.026951751,0.07542517,0.73958,3.8140156039999997,4.590032591,0.868435816,0.8013436340000001,40.55794415,27.24344047,0.0,3,1,1,0,6.27
1167,0.257038149,779.3893472,0.544827597,0.028206202000000003,-0.257662588,0.67188,3.833733978,4.742824887,0.820364952,0.7818587459999999,46.16444957,33.75450904,0.166666667,2,2,2,0,7.46
2593,-0.38354927899999997,518.9525028,0.745087798,0.024576746,-0.077526022,0.68548,3.959023647,4.968209841,0.867367115,0.826488441,43.07583017,33.67162108,0.5,3,3,3,0,6.26
2368,0.489195975,-242.7934012,0.40473459999999994,0.034057588,-0.073858927,0.67308,3.8330439710000004,4.8576763519999995,0.874533918,0.836469687,36.96683765,26.75514315,0.166666667,2,2,2,0,6.98
1754,0.587558955,531.6361561000001,0.71274277,0.030628779,-0.030262072,0.69828,3.5600637369999997,4.637537511000001,0.7985627829999999,0.76724605,42.78372373,30.55852466,0.166666667,3,2,2,0,8.0
49,-0.139378848,307.1361736,0.892141292,0.029995413,-0.07624410599999999,0.68333,3.8117918719999997,4.86530336,0.837783023,0.796477675,42.95475089999999,31.910518699999997,0.0,4,2,2,0,5.44
2168,0.238059913,53.30707723,0.757075265,0.028526829,-0.14086118,0.68919,3.6142144519999997,4.602261099,0.756022865,0.725925865,58.99894744,39.14363884,0.0,4,3,3,0,6.39
1543,-0.056641252,-387.5814732,0.6896552140000001,0.026745064,0.085244086,0.67143,3.437615577,4.448788891,0.7730453270000001,0.709899541,69.29979664,41.00913636,0.5,4,2,2,0,6.66
701,0.17010352199999998,426.0845534,0.49507051399999996,0.030585794,0.075423832,0.6875,4.022098308,4.863749485,0.8856299320000001,0.828525946,44.21507916,30.32062538,0.5,3,3,3,0,7.02
1853,-0.154879462,598.958035,0.944168467,0.026579471,-0.083514187,0.68939,3.570898676,4.919696867,0.826257082,0.7874126029999999,49.98285848,29.001666200000003,0.0,4,3,3,0,6.57
1649,-0.065332953,-193.04258069999997,0.918795955,0.025437324,0.098553634,0.6724100000000001,3.484964735,4.333199895,0.771758473,0.714331715,55.41969022,34.71290259,0.0,3,1,1,0,5.3
757,-0.09781730400000001,-59.43797522,0.6168910479999999,0.030384489,-0.036748863,0.66935,3.929282997,4.864711332,0.8304416379999999,0.7936835870000001,44.82258922,32.04911075,0.14285714300000002,3,2,2,0,6.86
1256,-0.046630548,63.09878425,0.869912032,0.028037304,-0.12982889,0.67969,3.433290622,4.653262235,0.8012705090000001,0.7459057929999999,58.93130193,32.79826638,0.0,5,4,4,0,8.64
1660,0.154305876,479.733091,0.66373496,0.026333852999999997,-0.10678587199999999,0.7016100000000001,3.438354924,4.5094303369999995,0.766565352,0.730872796,52.50287742,34.19959685,0.0,4,4,4,0,7.85
1539,-0.186693303,-493.6858732,0.6896552140000001,0.026745064,0.076324638,0.65714,3.247573415,4.16376177,0.7202045840000001,0.662449534,75.65340059,46.37997795,0.5,3,1,1,1,6.85
2128,0.189676027,148.6604489,0.666177742,0.030346917,0.018390653,0.69231,3.774429343,4.628848958,0.833337819,0.7935772740000001,38.10521642,28.43499115,0.166666667,3,2,2,0,6.88
1111,0.010711207,153.5077301,0.29948817699999997,0.033859438,0.039897959,0.63043,3.243803205,3.742840865,0.7184709420000001,0.663170843,48.90406742,40.27179348,0.5,1,1,1,0,5.89
1369,0.17429717,235.6804625,1.304473002,0.025717941,-0.2084325,0.67073,3.610446212,4.816427678,0.770884052,0.728952156,70.56609904,38.59534432,0.0,4,3,3,1,8.36
